GL_Code,GL_Account,Desc_Status,Doc_Date,Year,Month_No,Month_Name,Period,Source,Reference,Narration,Debit,Credit,Net,Source_Account_Name
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010054,Being principal and interest due for BOI repayment for Dec 2,129044623.58,0.0,129044623.58,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010058,Being principal and interest due for BOI repayment for Dec 2,96056976.65,0.0,96056976.65,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010053,Being principal and interest due for BOI repayment for Dec 2,64347095.0,0.0,64347095.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010066,Being principal and interest due for BOI repayment for Dec 2,34036885.26,0.0,34036885.26,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020152,Loan Interest repayment,10773401.83,0.0,10773401.83,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020156,Bank charged for interest,157463283.18,0.0,157463283.18,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020157,Interest debit charges on overdraft for the month of January,28638571.0,0.0,28638571.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020421,Monthly Inventory management fee for December and January in,717500.0,0.0,717500.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020158,Bank charge for Over draft,12848764.12,0.0,12848764.12,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020420,Monthly Inventory management fee for December and January in,615000.0,0.0,615000.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,CASH-CIG2025010002,Epense reimbursment,0.0,1414729.99,-1414729.99,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010126,Walfare fee,0.0,4611200.0,-4611200.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010292,Condolence support,0.0,16600000.0,-16600000.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010054,Being principal and interest due for BOI repayment for Dec 2,0.0,129044623.58,-129044623.58,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010058,Being principal and interest due for BOI repayment for Dec 2,0.0,96056976.65,-96056976.65,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010053,Being principal and interest due for BOI repayment for Dec 2,0.0,64347095.0,-64347095.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025010066,Being principal and interest due for BOI repayment for Dec 2,0.0,34036885.26,-34036885.26,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020152,Loan Interest repayment,0.0,10773401.83,-10773401.83,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020156,Bank charged for interest,0.0,157463283.18,-157463283.18,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020157,Interest debit charges on overdraft for the month of January,0.0,28638571.0,-28638571.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020421,Monthly Inventory management fee for December and January in,0.0,717500.0,-717500.0,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020158,Bank charge for Over draft,0.0,12848764.12,-12848764.12,Cash in Hand - Naira-1
10000,Cash in Hand - Naira-1,Matched,2025-01-31,2025,1,January,2025-01,GL-JE,PAY-CIG2025020420,Monthly Inventory management fee for December and January in,0.0,615000.0,-615000.0,Cash in Hand - Naira-1
